userWallet,predicted_credit_score,score_band
0x00000000001accfa9cef68cf5371a23025b6d4b6,9.120462862484963,Extremely risky / suspicious
0x000000000051d07a4fb3bd10121a343d85818da6,99.07091115137227,Extremely risky / suspicious
0x000000000096026fb41fc39f9875d164bd82e2dc,28.005541280100836,Extremely risky / suspicious
0x0000000000e189dd664b9ab08a33c4839953852c,405.2569382689432,Slightly below average
0x0000000002032370b971dabd36d72f3e5a7bf1ee,465.2722934372914,Slightly below average
0x000000000a38444e0a6e37d3b630d7e855a7cb13,395.5634578764329,Moderate risk
0x000000003853fcedcd0355fec98ca3192833f00b,20.06974150301716,Extremely risky / suspicious
0x000000003ce0cf2c037493b1dc087204bd7f713e,493.7085357408789,Slightly below average
0x000000007858e6f2668e1e06111cfa24403a5466,84.03747410672531,Extremely risky / suspicious
0x00000001a0f57e850c9db68b4a9bc34677437c5c,33.29833726604495,Extremely risky / suspicious
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,481.7595602257317,Slightly below average
0x00000029ff545c86524ade7caf132527707948c4,491.67926523635305,Slightly below average
0x00000087c4cebffb95746d1935de7fbcab092f40,503.0247355701715,Average
0x000000e28faa823d5b53ff6c2922c28335840375,619.2058118987754,low risk
0x000006eee6e39015cb523aebdd4d0b1855aba682,429.41634193495844,Slightly below average
0x00000a9c78912badb92d73b6ed26456e11def5eb,31.144297505415167,Extremely risky / suspicious
0x00001bc47f0973f794f79c16121cee879e272d6a,360.3755696429932,Moderate risk
0x00002b503a75998c97508916a74fdb41934fa030,547.7897967864857,Average
0x0000897253cc85f7547317eb2080b36b3255687a,7.216506086622971,Extremely risky / suspicious
0x0000b252c943089fbba5554a1d196ef79bc77e4f,31.145000567685354,Extremely risky / suspicious
0x0000ce08fa224696a819877070bf378e8b131acf,421.45855084735473,Slightly below average
0x00010a708585ba4812a1c5976182626c75cb7a6b,391.25560078212567,Moderate risk
0x00016fc0c9f7620e920e1423fd455f9574f48025,37.68141224702006,Extremely risky / suspicious
